code,number,question;;
2018Z21416,5,'Is het u bekend dat de zuidelijke spoorwegovergang iedere dag gebruikt wordt door normaal agrarisch verkeer, onder andere met pensionpaarden? Zo ja, deelt u dan ook de conclusie dat het aldaar gevaarlijk is om met een paard aan de hand deze onbewaakte spoorwegovergang (kijkend in een bocht) over te steken?';;
2018Z21416,6,'Is het u bekend of ProRail klachten van omwonenden heeft ontvangen inzake de veiligheid? Zo ja, hoeveel klachten betreft het?';;
2018Z21416,7,'Wilt u aangeven op welke wijze u met een strakke planning dit dossier wilt afsluiten?';;
2018Z21309,1,'Bent u bekend met het bericht ‘Drie kilometer Berkel opgegeven: geen levende vis te bekennen’?';;
2018Z21309,2,'Kunt u bevestigen dat door een lek in een persleiding, gebruikt door FrieslandCampina, tienduizenden vissen een verstikkingsdood zijn gestorven?';;
2018Z21309,3,'Klopt de berichtgeving dat er bijna een week is gepasseerd tussen de constatering van het lek (4 november) en het oplossen van het lek (10 november)?';;
2018Z21309,4,'Kunt u aangeven waarom het tot zaterdag 10 november duurde voordat er een omleiding voor de afvalwaterstroom is gerealiseerd?';;
2018Z21309,5,'Kunt u aangeven waarom gewacht is tot donderdagmiddag 8 november om in overleg te treden over het redden van vissen terwijl op dinsdagochtend 6 november al geconstateerd werd dat vissen te lijden hadden onder het ongewoon lage zuurstofniveau?';;
2018Z21309,6,'Had naar uw mening de massale vissterfte voorkomen kunnen worden als eerder was begonnen met het overplaatsen van vissen? Kunt u aangeven waarom daartoe niet eerder besloten is? Zo nee, waarom niet?';;
2018Z21309,7,'Kunt u aangeven waarom woensdagochtend wel besloten werd boeren en omwonenden te adviseren hun dieren niet te laten drinken uit de Berkel maar niet besloten werd de dieren in de Berkel te beschermen?';;
2018Z21309,8,'Kunt u aangeven op welk moment daadwerkelijk begonnen is met het vangen en in veiligheid brengen van de vissen?';;
2018Z21309,9,'Wat is de verwachte levensduur van een persleiding zoals deze? Klopt het dat de persleiding in dit geval slechts vijf jaar oud is?  Waren er eerder problemen met de persleiding?';;
2018Z21309,10,'Klopt het dat de persleiding in beheer is van het Waterschap Rijn en IJssel en bij vergunning gebruikt wordt door FrieslandCampina?  ';;
2018Z21309,11,'Is het mogelijk dat de druk in de persleiding te hoog is opgevoerd? Zo ja, bent u bereid dat te onderzoeken?';;
2018Z21309,12,'Wie is verantwoordelijk voor het regelen van de druk in de persleiding?';;
2018Z21309,13,'Wie is verantwoordelijk voor de ontstane milieuschade? Worden de volledige kosten verhaald op de verantwoordelijke partij? Behelst dat ook de kosten die noodzakelijk zijn voor het herstellen van de flora en fauna?';;
2018Z21309,15,'Bent u bekend met de lekkage een jaar geleden bij de FrieslandCampina fabriek in Lochem waarbij salpeterzuur vrijkwam en ernstige bodemverontreiniging ontstond?';;
2018Z21309,16,'Wat zeggen deze twee incidenten met een groot nadelig effect op het milieu volgens u over het veiligheidsbeleid in deze fabriek? Wordt naar uw mening voldoende aandacht besteed aan de veiligheid?';;
2018Z21309,17,'Wanneer was er voor het laatst een veiligheidsinspectie bij de fabrieken in Lochem en Borculo? Wat waren de conclusies en aanbevelingen destijds?';;
2018Z21309,18,'Kunt u aangeven waarom heemraad Frank Wissink het beeld schetst dat de keuze bestond uit óf een voortdurende lozing van afvalwater met bijbehorende milieuschade óf het tijdelijk stilleggen van de productie met als gevolg milieuschade vanwege melkveehouders die overtollige melk lozen?';;
2018Z21309,19,'Bestaat en bestond er geen mogelijkheid om in het geval van een calamiteit de productie tijdelijk stil te leggen zonder dat daardoor milieuschade ontstaat?';;
2018Z21309,20,'Acht u het wenselijk dat een situatie blijft voortbestaan waarbij het tijdelijk stilleggen van de productie in één of twee fabrieken elders milieuschade oplevert? Zo nee, welke maatregelen gaat u treffen om in het geval van een calamiteit milieuschade te voorkomen? Klopt het dat het lozen van overtollige melk door veehouders verboden is? Hoe groot acht u daarmee het risico op milieuschade door lozingen van overtollige melk?';;
2018Z21309,21,'Bestond er geen mogelijkheid de productie in Lochem en Borculo stil te leggen en de melk elders te verwerken gezien het feit dat FrieslandCampina ook zuivelfabrieken heeft in Maasdam, Rotterdam, Leeuwarden, Veghel, Limmen, Drachten, Beilen, Bedum, Den Bosch, Noordwijk, Born, Balkbrug, Dronrijp, Gerkesklooster, Lutjewinkel, Marum, Rijkevoort, Steenderen, Wolvega, Workum, Leerdam, Meppel, Veghel en Nuenen?';;
2018Z21309,22,'Kunt u aangeven welke overwegingen ten grondslag lagen aan het besluit van het Waterschap Rijn en IJssel om de productie niet stil te leggen?';;
2018Z21309,23,'Bent u van mening het Waterschap op de juiste gronden heeft besloten de FrieslandCampina fabrieken niet stil te leggen en het lozen van 400.000 liter afvalwater per uur te gedogen?';;
